"Country","Payloads_Active","Payloads_Total","Payloads_Decayed","Payloads_OnOrbit","Debris_Total","Debris_Decayed","Debris_OnOrbit","All_OnOrbit","All_Decayed","All_Total"
"AB",1,1,0,1,0,0,0,1,0,1
"ABS",0,0,0,0,0,0,0,0,0,0
"AC",0,0,0,0,0,0,0,0,0,0
"ALG",0,0,0,0,0,0,0,0,0,0
"ANG",0,0,0,0,0,0,0,0,0,0
"ARGN",0,0,0,0,0,0,0,0,0,0
"ASRA",0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,0,0,0,0,0,0
"AZER",0,0,0,0,0,0,0,0,0,0
"BEL",0,0,0,0,0,0,0,0,0,0
"BELA",0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,0,0
"BHUT",0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,0,0,0
"BRAZ",0,0,0,0,0,0,0,0,0,0
"BUL",0,0,0,0,0,0,0,0,0,0
"CA",300,300,0,300,0,0,0,300,0,300
"CHBZ",0,0,0,0,0,0,0,0,0,0
"CHLE",0,0,0,0,0,0,0,0,0,0
"CIS",2,2,0,2,3,2,1,3,2,5
"COL",0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0,0
"CZCH",0,0,0,0,0,0,0,0,0,0
"DEN",0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0
"EGYP",1,1,0,1,0,0,0,1,0,1
"ESA",0,0,0,0,0,0,0,0,0,0
"ESRO",0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,0,0
"EUME",0,0,0,0,0,0,0,0,0,0
"EUTE",0,0,0,0,0,0,0,0,0,0
"FGER",0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,0,0,0,0,0,0
"FR",0,0,0,0,1,0,1,1,0,1
"FRIT",0,0,0,0,0,0,0,0,0,0
"GER",10,15,5,10,0,0,0,10,5,15
"GHA",0,0,0,0,0,0,0,0,0,0
"GLOB",0,0,0,0,0,0,0,0,0,0
"GREC",0,0,0,0,0,0,0,0,0,0
"GRSA",1,1,0,1,0,0,0,1,0,1
"GUAT",0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,0,0,0,0,0
"IM",0,0,0,0,0,0,0,0,0,0
"IND",22,26,5,21,3,1,2,23,6,29
"INDO",1,1,0,1,0,0,0,1,0,1
"IRAN",0,0,0,0,0,0,0,0,0,0
"IRAQ",0,0,0,0,0,0,0,0,0,0
"ISRA",0,1,1,0,0,0,0,0,1,1
"ISS",0,0,0,0,0,0,0,0,0,0
"IT",1,1,0,1,0,0,0,1,0,1
"ITSO",0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,0,0,0,0,0,0,0
"JPN",6,6,0,6,1,1,0,6,1,7
"KAZ",0,0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0,0,0
"KWT",0,0,0,0,0,0,0,0,0,0
"LAOS",0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0
"LTU",2,2,0,2,0,0,0,2,0,2
"LUXE",0,0,0,0,0,0,0,0,0,0
"MA",0,0,0,0,0,0,0,0,0,0
"MALA",0,0,0,0,0,0,0,0,0,0
"MDA",0,0,0,0,0,0,0,0,0,0
"MEX",0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0
"MNG",0,0,0,0,0,0,0,0,0,0
"MUS",0,0,0,0,0,0,0,0,0,0
"NATO",0,0,0,0,0,0,0,0,0,0
"NETH",0,0,0,0,0,0,0,0,0,0
"NICO",0,0,0,0,0,0,0,0,0,0
"NIG",0,0,0,0,0,0,0,0,0,0
"NKOR",0,0,0,0,0,0,0,0,0,0
"NOR",0,0,0,0,0,0,0,0,0,0
"NPL",0,0,0,0,0,0,0,0,0,0
"NZ",0,0,0,0,0,0,0,0,0,0
"O3B",4,4,0,4,0,0,0,4,0,4
"ORB",0,0,0,0,0,0,0,0,0,0
"PAKI",0,0,0,0,0,0,0,0,0,0
"PERU",0,0,0,0,0,0,0,0,0,0
"POL",0,0,0,0,0,0,0,0,0,0
"POR",0,0,0,0,0,0,0,0,0,0
"PRC",11,11,0,11,7,3,4,15,3,18
"PRY",0,0,0,0,0,0,0,0,0,0
"RASC",0,0,0,0,0,0,0,0,0,0
"ROC",0,0,0,0,0,0,0,0,0,0
"ROM",0,0,0,0,0,0,0,0,0,0
"RP",0,0,0,0,0,0,0,0,0,0
"RWA",0,0,0,0,0,0,0,0,0,0
"SAFR",0,0,0,0,0,0,0,0,0,0
"SAUD",0,0,0,0,0,0,0,0,0,0
"SDN",0,0,0,0,0,0,0,0,0,0
"SEAL",0,0,0,0,0,0,0,0,0,0
"SES",0,0,0,0,0,0,0,0,0,0
"SGJP",1,1,0,1,0,0,0,1,0,1
"SING",0,0,0,0,0,0,0,0,0,0
"SKOR",0,0,0,0,0,0,0,0,0,0
"SPN",1,1,0,1,0,0,0,1,0,1
"STCT",0,0,0,0,0,0,0,0,0,0
"SVN",0,0,0,0,0,0,0,0,0,0
"SWED",0,0,0,0,0,0,0,0,0,0
"SWTZ",1,1,0,1,0,0,0,1,0,1
"TBD",0,0,0,0,0,0,0,0,0,0
"THAI",0,0,0,0,0,0,0,0,0,0
"TMMC",0,0,0,0,0,0,0,0,0,0
"TUN",0,0,0,0,0,0,0,0,0,0
"TURK",0,0,0,0,0,0,0,0,0,0
"UAE",0,0,0,0,0,0,0,0,0,0
"UK",665,666,1,665,0,0,0,665,1,666
"UKR",0,0,0,0,0,0,0,0,0,0
"URY",0,0,0,0,0,0,0,0,0,0
"US",43,44,1,43,7,3,4,47,4,51
"USBZ",0,0,0,0,0,0,0,0,0,0
"VENZ",0,0,0,0,0,0,0,0,0,0
"VTNM",1,1,0,1,0,0,0,1,0,1
"CHN",95,128,33,95,4,0,4,99,33,132
"EU",11,14,3,11,0,0,0,11,3,14
"Japan",14,21,7,14,0,0,0,14,7,21
"Other",76,101,25,76,0,0,0,76,25,101
"QATR",0,0,0,0,0,0,0,0,0,0
"RUS",23,31,8,23,0,0,0,23,8,31
"SK",12,16,4,12,0,0,0,12,4,16
"USA",3801,3867,66,3801,0,0,0,3801,66,3867
