"Country","Payloads_Active","Payloads_Total","Payloads_Decayed","Payloads_OnOrbit","Debris_Total","Debris_Decayed","Debris_OnOrbit","All_OnOrbit","All_Decayed","All_Total"
"AB",1,1,0,1,0,0,0,1,0,1
"ABS",0,0,0,0,0,0,0,0,0,0
"AC",0,0,0,0,0,0,0,0,0,0
"ALG",0,0,0,0,0,0,0,0,0,0
"ANG",1,1,0,1,0,0,0,1,0,1
"ARGN",28,28,0,28,0,0,0,28,0,28
"ASRA",0,0,0,0,0,0,0,0,0,0
"AUS",8,9,1,8,0,0,0,8,1,9
"AZER",0,0,0,0,0,0,0,0,0,0
"BEL",4,4,0,4,0,0,0,4,0,4
"BELA",0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,0,0
"BHUT",0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,0,0,0
"BRAZ",5,5,0,5,0,0,0,5,0,5
"BUL",2,2,0,2,0,0,0,2,0,2
"CA",26,26,0,26,0,0,0,26,0,26
"CHBZ",1,1,0,1,0,0,0,1,0,1
"CHLE",3,3,0,3,0,0,0,3,0,3
"CIS",77,101,23,78,57,28,29,107,51,158
"COL",0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0,0
"CZCH",4,4,0,4,0,0,0,4,0,4
"DEN",0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0
"EGYP",4,4,0,4,0,0,0,4,0,4
"ESA",7,7,0,7,0,0,0,7,0,7
"ESRO",0,0,0,0,0,0,0,0,0,0
"EST",1,1,0,1,0,0,0,1,0,1
"EUME",0,0,0,0,0,0,0,0,0,0
"EUTE",6,6,0,6,0,0,0,6,0,6
"FGER",0,0,0,0,0,0,0,0,0,0
"FIN",19,19,0,19,0,0,0,19,0,19
"FR",20,20,0,20,14,0,14,34,0,34
"FRIT",0,0,0,0,0,0,0,0,0,0
"GER",25,25,0,25,0,0,0,25,0,25
"GHA",0,0,0,0,0,0,0,0,0,0
"GLOB",0,0,0,0,0,0,0,0,0,0
"GREC",0,0,0,0,0,0,0,0,0,0
"GRSA",1,1,0,1,0,0,0,1,0,1
"GUAT",0,0,0,0,0,0,0,0,0,0
"HUN",2,4,2,2,0,0,0,2,2,4
"IM",2,2,0,2,0,0,0,2,0,2
"IND",17,19,1,18,7,1,6,24,2,26
"INDO",1,1,0,1,0,0,0,1,0,1
"IRAN",2,3,1,2,2,0,2,4,1,5
"IRAQ",0,0,0,0,0,0,0,0,0,0
"ISRA",14,15,1,14,1,1,0,14,2,16
"ISS",0,0,0,0,0,0,0,0,0,0
"IT",17,17,0,17,0,0,0,17,0,17
"ITSO",3,3,0,3,0,0,0,3,0,3
"JOR",0,0,0,0,0,0,0,0,0,0
"JPN",32,36,4,32,8,3,5,37,7,44
"KAZ",0,0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0,0,0
"KWT",1,1,0,1,0,0,0,1,0,1
"LAOS",0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0
"LTU",8,8,0,8,0,0,0,8,0,8
"LUXE",12,12,0,12,0,0,0,12,0,12
"MA",0,0,0,0,0,0,0,0,0,0
"MALA",1,1,0,1,0,0,0,1,0,1
"MDA",0,0,0,0,0,0,0,0,0,0
"MEX",2,2,0,2,0,0,0,2,0,2
"MMR",0,0,0,0,0,0,0,0,0,0
"MNG",0,0,0,0,0,0,0,0,0,0
"MUS",0,0,0,0,0,0,0,0,0,0
"NATO",0,0,0,0,0,0,0,0,0,0
"NETH",4,4,0,4,0,0,0,4,0,4
"NICO",0,0,0,0,0,0,0,0,0,0
"NIG",0,0,0,0,0,0,0,0,0,0
"NKOR",0,0,0,0,0,0,0,0,0,0
"NOR",4,4,0,4,0,0,0,4,0,4
"NPL",0,0,0,0,0,0,0,0,0,0
"NZ",20,20,0,20,0,0,0,20,0,20
"O3B",4,4,0,4,0,0,0,4,0,4
"ORB",0,0,0,0,0,0,0,0,0,0
"PAKI",0,0,0,0,0,0,0,0,0,0
"PERU",0,0,0,0,0,0,0,0,0,0
"POL",8,8,0,8,0,0,0,8,0,8
"POR",0,0,0,0,0,0,0,0,0,0
"PRC",369,378,9,369,177,65,112,481,74,555
"PRY",0,0,0,0,0,0,0,0,0,0
"RASC",0,0,0,0,0,0,0,0,0,0
"ROC",9,9,0,9,0,0,0,9,0,9
"ROM",0,0,0,0,0,0,0,0,0,0
"RP",0,0,0,0,0,0,0,0,0,0
"RWA",1,1,0,1,0,0,0,1,0,1
"SAFR",3,3,0,3,0,0,0,3,0,3
"SAUD",1,1,0,1,0,0,0,1,0,1
"SDN",1,1,0,1,0,0,0,1,0,1
"SEAL",0,0,0,0,0,0,0,0,0,0
"SES",4,4,0,4,0,0,0,4,0,4
"SGJP",1,1,0,1,0,0,0,1,0,1
"SING",2,2,0,2,0,0,0,2,0,2
"SKOR",10,11,0,11,1,0,1,12,0,12
"SPN",23,24,1,23,0,0,0,23,1,24
"STCT",0,0,0,0,0,0,0,0,0,0
"SVN",3,3,0,3,0,0,0,3,0,3
"SWED",0,0,0,0,0,0,0,0,0,0
"SWTZ",11,11,0,11,0,0,0,11,0,11
"TBD",28,28,0,28,42,6,36,64,6,70
"THAI",4,4,0,4,0,0,0,4,0,4
"TMMC",0,0,0,0,0,0,0,0,0,0
"TUN",1,1,0,1,0,0,0,1,0,1
"TURK",4,4,0,4,0,0,0,4,0,4
"UAE",7,7,0,7,0,0,0,7,0,7
"UK",429,432,2,430,0,0,0,430,2,432
"UKR",1,1,0,1,0,0,0,1,0,1
"URY",0,0,0,0,0,0,0,0,0,0
"US",3756,4087,300,3787,99,47,52,3839,347,4186
"USBZ",0,0,0,0,0,0,0,0,0,0
"VENZ",0,0,0,0,0,0,0,0,0,0
"VTNM",1,1,0,1,0,0,0,1,0,1
"CHN",0,0,0,0,0,0,0,0,0,0
"EU",0,0,0,0,0,0,0,0,0,0
"Japan",0,0,0,0,0,0,0,0,0,0
"Other",0,0,0,0,0,0,0,0,0,0
"QATR",0,0,0,0,0,0,0,0,0,0
"RUS",0,0,0,0,0,0,0,0,0,0
"SK",0,0,0,0,0,0,0,0,0,0
"USA",0,0,0,0,0,0,0,0,0,0
