"","COSPARID","RSO_NAME","RSO_TYPE","PAYLOAD_OPERATIONAL_STATUS","ORBIT_TYPE","APPLICATION","SOURCE","LAUNCH_SITE","LAUNCH_DATE","DECAY_DATE","ORBITAL_PERIOD","12","13","14","INCLINATION","APOGEE","PERIGEE","18","19","20","21","22","23","a","e","26","27","28","29","X_","Y_","Z_","33","34","35","36","37","38","39","40","41","42","LAUNCH_YEAR","count"
"15468","2019-029A","Starlink1","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-10-22",6917,0,0.925025,0,0,5.77026,6917,0,0,0,4.56849,6.0626,5983.17,-3470.78,15.1449,2.0277,3.52194,6.06272,2022,2019-01-01,1
"15469","2019-029B","Starlink2","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-11-14",6917,0,0.925025,0,0,0.778517,6917,0,0,0,4.56849,6.0626,4088.1,-5579.61,15.1899,3.27032,2.41262,6.0627,2022,2019-01-01,1
"15470","2019-029C","Starlink3","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-09-16",6917,0,0.925025,0,0,4.73214,6917,0,0,0,4.56849,6.0626,6896.76,528.598,15.0979,-0.323761,4.05102,6.06272,2022,2019-01-01,1
"15471","2019-029D","Starlink4","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-10-06",6917,0,0.925025,0,0,3.73055,6917,0,0,0,4.56849,6.0626,6670.82,-1828.88,15.1267,1.06173,3.92279,6.06272,2022,2019-01-01,1
"15472","2019-029E","Starlink5","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-09-20",6917,0,0.925025,0,0,0.930196,6917,0,0,0,4.56849,6.0626,6916.78,53.1509,15.1065,-0.044468,4.0637,6.06272,2022,2019-01-01,1
"15473","2019-029F","Starlink6","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-08-14",6917,0,0.925025,0,0,4.93629,6917,0,0,0,4.56849,6.0626,5530.99,4153.65,15.0561,-2.45095,3.24169,6.06271,2022,2019-01-01,1
"15474","2019-029G","Starlink7","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-08-06",6917,0,0.925025,0,0,0.441023,6917,0,0,0,4.56849,6.0626,4908.71,4873.32,15.0374,-2.87258,2.87473,6.0627,2022,2019-01-01,1
"15475","2019-029H","Starlink8","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-10-31",6917,0,0.925025,0,0,5.87674,6917,0,0,0,4.56849,6.0626,5300.88,-4443.57,15.1639,2.60054,3.12296,6.06271,2022,2019-01-01,1
"15476","2019-029I","Starlink9","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-10-14",6917,0,0.925025,0,0,2.50285,6917,0,0,0,4.56849,6.0626,6356.95,-2726.52,15.133,1.58971,3.74011,6.06271,2022,2019-01-01,1
"15477","2019-029J","Starlink10","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-09-07",6917,0,0.925025,0,0,0.225758,6917,0,0,0,4.56849,6.0626,6732.82,1585.48,15.0922,-0.944387,3.95269,6.06271,2022,2019-01-01,1
"15478","2019-029K","Starlink11","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-11-24",6917,0,0.925025,0,0,1.0721,6917,0,0,0,4.56849,6.0626,3072.84,-6196.96,15.2073,3.63499,1.81733,6.0627,2022,2019-01-01,1
