"","OBJECT_NAME","OBJECT_ID","NORAD_CAT_ID","OBJECT_TYPE","OPS_STATUS_CODE","OWNER","LAUNCH_DATE","LAUNCH_SITE","DECAY_DATE","PERIOD","INCLINATION","APOGEE","PERIGEE","RCS","DATA_STATUS_CODE","ORBIT_CENTER","ORBIT_TYPE","LAUNCH_YEAR"
"44057","ONEWEB-0012","2019-010A",44057,"PAY","+","UK",2019-02-27,"FRGUI",NA,109.37,87.91,1199,1197,NA,NA,"EA","ORB",2019-01-01
"44058","ONEWEB-0010","2019-010B",44058,"PAY","+","UK",2019-02-27,"FRGUI",NA,109.37,87.91,1198,1197,NA,NA,"EA","ORB",2019-01-01
"44059","ONEWEB-0008","2019-010C",44059,"PAY","+","UK",2019-02-27,"FRGUI",NA,109.37,87.91,1199,1196,NA,NA,"EA","ORB",2019-01-01
"44060","ONEWEB-0007","2019-010D",44060,"PAY","+","UK",2019-02-27,"FRGUI",NA,109.46,87.91,1203,1201,NA,NA,"EA","ORB",2019-01-01
"44061","ONEWEB-0006","2019-010E",44061,"PAY","+","UK",2019-02-27,"FRGUI",NA,109.46,87.92,1203,1201,NA,NA,"EA","ORB",2019-01-01
"44062","ONEWEB-0011","2019-010F",44062,"PAY","+","UK",2019-02-27,"FRGUI",NA,109.46,87.92,1203,1200,NA,NA,"EA","ORB",2019-01-01
"44235","STARLINK-31","2019-029A",44235,"PAY","D","US",2019-05-24,"AFETR","2020-10-01",87.44,52.97,154,142,NA,NA,"EA","IMP",2019-01-01
"44236","STARLINK-22","2019-029B",44236,"PAY","D","US",2019-05-24,"AFETR","2020-08-09",91.29,53,342,333,NA,NA,"EA","IMP",2019-01-01
"44237","STARLINK-23","2019-029C",44237,"PAY","D","US",2019-05-24,"AFETR","2020-09-02",93.17,53,430,429,NA,NA,"EA","IMP",2019-01-01
"44238","STARLINK-24","2019-029D",44238,"PAY","-","US",2019-05-24,"AFETR",NA,90.79,52.99,322,305,NA,NA,"EA","ORB",2019-01-01
"44239","STARLINK-25","2019-029E",44239,"PAY","D","US",2019-05-24,"AFETR","2020-09-01",93.27,53.01,436,434,NA,NA,"EA","IMP",2019-01-01
"44240","STARLINK-26","2019-029F",44240,"PAY","D","US",2019-05-24,"AFETR","2021-04-10",87.72,52.96,165,158,NA,NA,"EA","IMP",2019-01-01
"44241","STARLINK-27","2019-029G",44241,"PAY","D","US",2019-05-24,"AFETR","2020-09-26",93.17,53.01,431,429,NA,NA,"EA","IMP",2019-01-01
"44242","STARLINK-28","2019-029H",44242,"PAY","D","US",2019-05-24,"AFETR","2020-08-21",87.16,52.99,137,130,NA,NA,"EA","IMP",2019-01-01
"44243","STARLINK-29","2019-029J",44243,"PAY","D","US",2019-05-24,"AFETR","2020-10-13",91.13,53,331,329,NA,NA,"EA","IMP",2019-01-01
"44244","STARLINK-30","2019-029K",44244,"PAY","D","US",2019-05-24,"AFETR","2020-10-13",87.64,52.97,160,155,NA,NA,"EA","IMP",2019-01-01
"44245","STARLINK-21","2019-029L",44245,"PAY","D","US",2019-05-24,"AFETR","2020-09-22",93.17,53,431,428,NA,NA,"EA","IMP",2019-01-01
"44246","STARLINK-46","2019-029M",44246,"PAY","D","US",2019-05-24,"AFETR","2020-02-20",87.8,52.97,183,148,NA,NA,"EA","IMP",2019-01-01
"44247","STARLINK-33","2019-029N",44247,"PAY","D","US",2019-05-24,"AFETR","2020-08-29",91.28,53.01,338,336,NA,NA,"EA","IMP",2019-01-01
"44248","STARLINK-34","2019-029P",44248,"PAY","D","US",2019-05-24,"AFETR","2020-09-03",87.44,52.99,150,145,NA,NA,"EA","IMP",2019-01-01
"44249","STARLINK-61","2019-029Q",44249,"PAY","D","US",2019-05-24,"AFETR","2022-07-29",88.1,52.94,183,178,NA,NA,"EA","IMP",2019-01-01
"44250","STARLINK-36","2019-029R",44250,"PAY","D","US",2019-05-24,"AFETR","2020-09-15",93.17,53,430,429,NA,NA,"EA","IMP",2019-01-01
"44251","STARLINK-37","2019-029S",44251,"PAY","D","US",2019-05-24,"AFETR","2020-09-16",87.98,52.96,181,168,NA,NA,"EA","IMP",2019-01-01
"44252","STARLINK-71","2019-029T",44252,"PAY","P","US",2019-05-24,"AFETR",NA,91.06,53,337,317,NA,NA,"EA","ORB",2019-01-01
"44253","STARLINK-39","2019-029U",44253,"PAY","D","US",2019-05-24,"AFETR","2020-09-18",88.08,52.99,187,173,NA,NA,"EA","IMP",2019-01-01
"44254","STARLINK-32","2019-029V",44254,"PAY","D","US",2019-05-24,"AFETR","2020-09-12",87.36,52.99,149,139,NA,NA,"EA","IMP",2019-01-01
"44255","STARLINK-66","2019-029W",44255,"PAY","D","US",2019-05-24,"AFETR","2020-08-21",91.13,53,331,329,NA,NA,"EA","IMP",2019-01-01
"44256","STARLINK-42","2019-029X",44256,"PAY","D","US",2019-05-24,"AFETR","2020-09-16",91.53,52.99,357,342,NA,NA,"EA","IMP",2019-01-01
"44257","STARLINK-43","2019-029Y",44257,"PAY","D","US",2019-05-24,"AFETR","2022-01-27",87.16,52.98,167,100,NA,NA,"EA","IMP",2019-01-01
"44258","STARLINK-40","2019-029Z",44258,"PAY","D","US",2019-05-24,"AFETR","2020-09-05",93.17,53,430,429,NA,NA,"EA","IMP",2019-01-01
"44259","STARLINK-52","2019-029AA",44259,"PAY","D","US",2019-05-24,"AFETR","2020-10-13",91.13,53,331,329,NA,NA,"EA","IMP",2019-01-01
"44260","STARLINK-45","2019-029AB",44260,"PAY","D","US",2019-05-24,"AFETR","2020-09-04",87.88,52.99,176,163,NA,NA,"EA","IMP",2019-01-01
"44261","STARLINK-44","2019-029AC",44261,"PAY","D","US",2019-05-24,"AFETR","2020-09-05",93.27,53,435,434,NA,NA,"EA","IMP",2019-01-01
"44262","STARLINK-49","2019-029AD",44262,"PAY","D","US",2019-05-24,"AFETR","2020-09-29",88.68,53,215,204,NA,NA,"EA","IMP",2019-01-01
"44263","STARLINK-72","2019-029AE",44263,"PAY","D","US",2019-05-24,"AFETR","2020-10-16",93.23,53,434,432,NA,NA,"EA","IMP",2019-01-01
"44264","STARLINK-35","2019-029AF",44264,"PAY","D","US",2019-05-24,"AFETR","2020-09-16",87.74,52.99,166,160,NA,NA,"EA","IMP",2019-01-01
"44265","STARLINK-63","2019-029AG",44265,"PAY","D","US",2019-05-24,"AFETR","2020-10-13",93.17,53,430,429,NA,NA,"EA","IMP",2019-01-01
"44266","STARLINK-54","2019-029AH",44266,"PAY","D","US",2019-05-24,"AFETR","2020-09-15",87.14,52.98,146,120,NA,NA,"EA","IMP",2019-01-01
"44267","STARLINK-69","2019-029AJ",44267,"PAY","D","US",2019-05-24,"AFETR","2020-09-16",93.17,53,430,429,NA,NA,"EA","IMP",2019-01-01
"44268","STARLINK-55","2019-029AK",44268,"PAY","D","US",2019-05-24,"AFETR","2021-03-09",92.31,53,389,386,NA,NA,"EA","IMP",2019-01-01
"44269","STARLINK-57","2019-029AL",44269,"PAY","D","US",2019-05-24,"AFETR","2020-09-18",87.77,52.99,169,159,NA,NA,"EA","IMP",2019-01-01
"44270","STARLINK-58","2019-029AM",44270,"PAY","D","US",2019-05-24,"AFETR","2020-08-23",87.28,53.01,147,133,NA,NA,"EA","IMP",2019-01-01
"44271","STARLINK-59","2019-029AN",44271,"PAY","D","US",2019-05-24,"AFETR","2020-10-15",93.17,53,430,429,NA,NA,"EA","IMP",2019-01-01
"44272","STARLINK-51","2019-029AP",44272,"PAY","D","US",2019-05-24,"AFETR","2020-09-02",93.17,53,430,429,NA,NA,"EA","IMP",2019-01-01
"44273","STARLINK-60","2019-029AQ",44273,"PAY","D","US",2019-05-24,"AFETR","2020-12-26",92.26,53,388,382,NA,NA,"EA","IMP",2019-01-01
"44274","STARLINK-62","2019-029AR",44274,"PAY","D","US",2019-05-24,"AFETR","2020-08-28",91.13,53.01,331,329,NA,NA,"EA","IMP",2019-01-01
"44275","STARLINK-64","2019-029AS",44275,"PAY","D","US",2019-05-24,"AFETR","2021-05-21",87.98,52.98,179,171,NA,NA,"EA","IMP",2019-01-01
"44276","STARLINK-65","2019-029AT",44276,"PAY","D","US",2019-05-24,"AFETR","2020-10-21",93.31,53,438,435,NA,NA,"EA","IMP",2019-01-01
"44277","STARLINK-41","2019-029AU",44277,"PAY","D","US",2019-05-24,"AFETR","2020-08-09",91.28,53.01,340,335,NA,NA,"EA","IMP",2019-01-01
"44278","STARLINK-67","2019-029AV",44278,"PAY","D","US",2019-05-24,"AFETR","2020-05-27",87.58,52.97,158,151,NA,NA,"EA","IMP",2019-01-01
"44279","STARLINK-68","2019-029AW",44279,"PAY","D","US",2019-05-24,"AFETR","2021-06-26",93.17,52.99,430,429,NA,NA,"EA","IMP",2019-01-01
"44280","STARLINK-38","2019-029AX",44280,"PAY","D","US",2019-05-24,"AFETR","2020-09-06",93.17,53,430,429,NA,NA,"EA","IMP",2019-01-01
"44281","STARLINK-70","2019-029AY",44281,"PAY","D","US",2019-05-24,"AFETR","2021-10-03",87.94,52.98,179,166,NA,NA,"EA","IMP",2019-01-01
"44282","STARLINK-80","2019-029AZ",44282,"PAY","D","US",2019-05-24,"AFETR","2022-05-04",88.49,52.99,207,193,NA,NA,"EA","IMP",2019-01-01
"44283","STARLINK-56","2019-029BA",44283,"PAY","D","US",2019-05-24,"AFETR","2020-09-10",88.29,52.99,197,183,NA,NA,"EA","IMP",2019-01-01
"44284","STARLINK-73","2019-029BB",44284,"PAY","D","US",2019-05-24,"AFETR","2020-09-28",93.17,53,430,429,NA,NA,"EA","IMP",2019-01-01
"44285","STARLINK-50","2019-029BC",44285,"PAY","D","US",2019-05-24,"AFETR","2020-09-17",93.17,53,430,429,NA,NA,"EA","IMP",2019-01-01
"44286","STARLINK-75","2019-029BD",44286,"PAY","D","US",2019-05-24,"AFETR","2021-03-28",91.84,53.01,370,359,NA,NA,"EA","IMP",2019-01-01
"44287","STARLINK-76","2019-029BE",44287,"PAY","D","US",2019-05-24,"AFETR","2021-09-26",87.62,52.96,159,154,NA,NA,"EA","IMP",2019-01-01
"44288","STARLINK-79","2019-029BF",44288,"PAY","D","US",2019-05-24,"AFETR","2020-10-03",93.17,53.01,430,429,NA,NA,"EA","IMP",2019-01-01
"44289","STARLINK-48","2019-029BG",44289,"PAY","D","US",2019-05-24,"AFETR","2021-04-18",94.73,53,506,505,NA,NA,"EA","IMP",2019-01-01
"44290","STARLINK-78","2019-029BH",44290,"PAY","D","US",2019-05-24,"AFETR","2020-09-16",88.26,53,195,182,NA,NA,"EA","IMP",2019-01-01
