"","COSPARID","RSO_NAME","RSO_TYPE","PAYLOAD_OPERATIONAL_STATUS","ORBIT_TYPE","APPLICATION","SOURCE","LAUNCH_SITE","LAUNCH_DATE","DECAY_DATE","ORBITAL_PERIOD","12","13","14","INCLINATION","APOGEE","PERIGEE","18","19","20","21","22","23","a","e","i","w","W","V","X_","Y_","Z_","33","34","35","36","37","38","39","40","41","42","LAUNCH_YEAR"
"15343","2019-001A","CHINASAT 2D (ZX 2D)","plat","+","u","u","PRC","XICLF","2019-01-10","1858-11-16",1436.1,0,0,0,0,35797,35777,0,0,0,"u","","2022-09-27",42166.2,0.000275017,0.000333107,1.75317,5.20434,1.14699,41597.9,6837.39,13.2891,-0.499203,3.03454,0.000330892,42060.5,2835.58,104.36,-0.00049639,0.00123544,-0.00067174,2022,2019-01-01
"15344","2019-001B","CZ-3B R/B","rb","D","u","u","PRC","XICLF","2019-01-10","2021-07-30",333.4,0,0,0,27.1,18979,115,0,0,0,"u","","1858-11-16",6600,0,0,0,0,0,6597.42,184.347,0,-0.217064,7.76833,0,0,0,0,0,0,0,1858,2019-01-01
"15345","2019-002A","IRIDIUM 180","plat","+","u","u","US","AFWTR","2019-01-11","1858-11-16",100.4,0,0,0,86.4,779,777,0,0,0,"u","","2022-09-23",7145.35,0.00248184,1.50788,1.81123,3.54551,3.25242,-2432.54,-579.82,-6712.28,-6.36859,-2.89745,2.56046,-2432.53,-514.644,-6717.6,-6.48702,-2.54837,2.54645,2022,2019-01-01
"15346","2019-002B","IRIDIUM 176","plat","+","u","u","US","AFWTR","2019-01-11","1858-11-16",97.8,0,0,0,86.6,656,652,0,0,0,"u","","2022-12-12",7037.28,0.000969669,1.51167,1.22269,2.9606,5.13546,-6905.74,1232.05,525.917,0.481346,-0.539045,7.49428,60.953,7015.64,510.716,0.0575814,-0.552807,7.49531,2022,2019-01-01
"15347","2019-002C","IRIDIUM 168","plat","+","u","u","US","AFWTR","2019-01-11","1858-11-16",100.4,0,0,0,86.4,779,776,0,0,0,"u","","2022-11-22",7161.16,0.001101,1.50795,1.34878,3.1083,5.06866,-7092.06,176.004,956.234,0.990576,-0.497693,7.38074,-3321.39,6271.07,940.653,0.500474,-0.851143,7.38289,2022,2019-01-01
"15348","2019-002D","IRIDIUM 173","plat","+","u","u","US","AFWTR","2019-01-11","1858-11-16",100.4,0,0,0,86.4,779,776,0,0,0,"u","","2022-11-22",7159.87,0.00120013,1.50794,1.5643,3.10761,5.02902,-6816.46,94.4583,2179.95,2.26955,-0.523732,7.09141,-3258.84,5993.18,2164.97,1.08429,-1.98405,7.09636,2022,2019-01-01
"15349","2019-002E","IRIDIUM 169","plat","+","u","u","US","AFWTR","2019-01-11","1858-11-16",100.1,0,0,0,87.4,766,761,0,0,0,"u","","2022-11-22",7128.89,0.000988068,1.52548,4.03868,5.88141,3.65079,1200.16,-163.482,7031.48,-6.76223,2.93325,1.21875,437.598,-1113.03,7034.09,-0.837447,7.30263,1.20397,2022,2019-01-01
"15350","2019-002F","IRIDIUM 172","plat","+","u","u","US","AFWTR","2019-01-11","1858-11-16",100.4,0,0,0,86.4,779,776,0,0,0,"u","","2022-10-13",7150.34,0.00158562,1.5079,2.00855,3.39928,3.37971,-4421.55,-802.126,-5575.98,-5.54751,-1.76531,4.6565,-4400.24,850.459,-5585.66,-5.75767,0.689479,4.6443,2022,2019-01-01
"15351","2019-002G","IRIDIUM 175","plat","+","u","u","US","AFWTR","2019-01-11","1858-11-16",97.8,0,0,0,86.6,656,652,0,0,0,"u","","2022-10-13",7036.88,0.00105437,1.51164,1.37902,3.39361,4.72502,-6723.93,-1654.83,-1251.64,-1.18195,-0.756547,7.39437,-6863.99,893.39,-1266.4,-1.32578,0.229391,7.39175,2022,2019-01-01
"15352","2019-002H","IRIDIUM 171","plat","+","u","u","US","AFWTR","2019-01-11","1858-11-16",100.4,0,0,0,86.4,779,776,0,0,0,"u","","2022-11-22",7161.41,0.00115108,1.50797,2.06585,3.11041,0.992118,7127.25,-259.84,596.645,0.644997,0.447169,-7.42386,3263.83,-6339.85,612.297,0.251635,-0.595421,-7.42242,2022,2019-01-01
"15353","2019-002J","IRIDIUM 170","plat","+","u","u","US","AFWTR","2019-01-11","1858-11-16",97.8,0,0,0,86.6,656,652,0,0,0,"u","","2022-11-22",7021.33,0.00239347,1.51161,1.10512,3.10663,3.21861,2678.87,291.814,-6501.78,-6.94642,0.411513,-2.8421,1573.71,-2204.94,-6495.87,-3.20134,6.13746,-2.85735,2022,2019-01-01
"15354","2019-002K","IRIDIUM 167","plat","+","u","u","US","AFWTR","2019-01-11","1858-11-16",100.4,0,0,0,86.4,779,777,0,0,0,"u","","2022-12-12",7160.3,0.0014687,1.50794,1.51275,2.96212,5.04366,-6802.35,1110.86,1927.38,1.91115,-0.805392,7.1708,-41.8134,6896.5,1912.4,0.0252598,-2.00022,7.17498,2022,2019-01-01
"15355","2019-003A","RAPIS-1","plat","+","u","u","JPN","KSCUT","2019-01-18","1858-11-16",94.8,0,0,0,97.3,516,502,0,0,0,"u","","2022-10-13",6874.29,0.000228854,1.69801,1.64841,5.52541,0.302505,-2408.77,1164.51,6330.64,-4.89116,5.12167,-2.80261,-1835.99,1963.11,6325.39,-2.55373,6.67778,-2.81315,2022,2019-01-01
"15356","2019-003B","ORIGAMISAT-1","plat","+","u","u","JPN","KSCUT","2019-01-18","1858-11-16",94.6,0,0,0,97.3,514,488,0,0,0,"u","","2022-09-03",6877.27,0.000524023,1.69784,5.69785,4.94555,0.96146,1166.19,-6295.49,2505.06,-1.5189,2.51125,7.02712,3066.76,-5619.29,2507.42,-2.65076,1.68349,7.02386,2022,2019-01-01
"15357","2019-003C","RISESAT","plat","+","u","u","JPN","KSCUT","2019-01-18","1858-11-16",94.6,0,0,0,97.3,513,489,0,0,0,"u","","2022-09-23",6873.06,0.000960021,1.69791,2.44309,5.2733,1.49975,-2013.97,4382.16,-4896.23,3.47653,-4.26976,-5.2617,-1885.16,4434.39,-4900.49,3.69576,-4.22403,-5.25422,2022,2019-01-01
"15358","2019-003D","MICRODRAGON","plat","+","u","u","VTNM","KSCUT","2019-01-18","1858-11-16",94.6,0,0,0,97.3,513,487,0,0,0,"u","","2022-11-02",6866.5,0.0028683,1.69796,0.895612,5.98314,1.33402,-4216.49,584.266,5381.87,-5.59726,2.34911,-4.61318,-2810.19,3212.84,5372.63,-2.44499,5.64151,-4.62537,2022,2019-01-01
