"","OBJECT_NAME","OBJECT_ID","NORAD_CAT_ID","OBJECT_TYPE","OPS_STATUS_CODE","OWNER","LAUNCH_DATE","LAUNCH_SITE","DECAY_DATE","PERIOD","INCLINATION","APOGEE","PERIGEE","RCS","DATA_STATUS_CODE","ORBIT_CENTER","ORBIT_TYPE","LAUNCH_YEAR"
"43920","CHINASAT 2D (ZX 2D)","2019-001A",43920,"PAY","+","PRC","2019-01-10","XICLF",NA,1436.08,0.01,35790,35782,NA,NA,"EA","ORB",2019-01-01
"43921","CZ-3B R/B","2019-001B",43921,"R/B","D","PRC","2019-01-10","XICLF","2019-07-03",99.91,26.75,1414,94,NA,NA,"EA","IMP",2019-01-01
"43922","IRIDIUM 180","2019-002A",43922,"PAY","+","US","2019-01-11","AFWTR",NA,100.4,86.4,779,776,NA,NA,"EA","ORB",2019-01-01
"43923","IRIDIUM 176","2019-002B",43923,"PAY","+","US","2019-01-11","AFWTR",NA,97.81,86.62,656,652,NA,NA,"EA","ORB",2019-01-01
"43924","IRIDIUM 168","2019-002C",43924,"PAY","+","US","2019-01-11","AFWTR",NA,100.4,86.4,779,776,NA,NA,"EA","ORB",2019-01-01
"43925","IRIDIUM 173","2019-002D",43925,"PAY","+","US","2019-01-11","AFWTR",NA,100.4,86.4,779,776,NA,NA,"EA","ORB",2019-01-01
"43926","IRIDIUM 169","2019-002E",43926,"PAY","+","US","2019-01-11","AFWTR",NA,100.1,86.43,768,758,NA,NA,"EA","ORB",2019-01-01
"43927","IRIDIUM 172","2019-002F",43927,"PAY","+","US","2019-01-11","AFWTR",NA,100.4,86.4,779,776,NA,NA,"EA","ORB",2019-01-01
"43928","IRIDIUM 175","2019-002G",43928,"PAY","+","US","2019-01-11","AFWTR",NA,97.81,86.62,656,652,NA,NA,"EA","ORB",2019-01-01
"43929","IRIDIUM 171","2019-002H",43929,"PAY","+","US","2019-01-11","AFWTR",NA,100.4,86.41,779,776,NA,NA,"EA","ORB",2019-01-01
"43930","IRIDIUM 170","2019-002J",43930,"PAY","+","US","2019-01-11","AFWTR",NA,97.81,86.62,656,652,NA,NA,"EA","ORB",2019-01-01
